,avg_salary,company,rating,job title,location,job description,company_type,company_sector,company_industry,age,title,python,spark,Machine Learning,phd,master,min_salary,max_salary
0,43.0,Publicis Sapient,3.7,Data Scientist - Senior Manager (H/F),Paris,"Company Description

As a digital business transformation partner, we’ve spent nearly three decades utilizing the disruptive power of technology and ingenuity to help digitally enable our clients' business in their pursuit of next. Always through radical customer centricity and an outside-in mindset. We’ve built a history of digital firsts…
we helped a bank launch the world’s first Internet Banking Offering
enabled an Airline to become the first to allow online check-in and seat selection
launched the first online share Trading Platform
created the first secure transaction for money online
We bring a startup mindset and agile methods to both established companies and the public sector to unlock value in ways that delight their customers and improve their operational effectiveness. Our approach to transformation is built from outside-in, challenging conventions and uniquely fusing of strategy and consulting, experience, data science and engineering with an enduring culture of creative problem-solving.",Company - Public,Management & Consulting,Business Consulting,33,Senior,0,0,0,0,0,39,47
1,43.0,TotalEnergies,3.9,Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,"Systèmes d'Information, Recherche Innovation&Développt
PAU-CSTJF(FRA)
France
Description du poste
Vous êtes jeune diplômé(e) ?
Débutez votre carrière par une expérience stimulante au cœur d’équipes internationales, engagées dans la transition énergétique !
Nous recherchons pour une durée de 12 mois au CSTJF à PAU (64), un Data Scientist débutant H/F, pour travailler sur la Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle.
Nous vous proposons un Contrat de Professionnalisation Temps Plein qualifiant de 12 mois (100% en entreprise) incluant 15% de formation interne (métier, linguistique, outils…) dispensée par des organismes sélectionnés par TotalEnergies.
Ce contrat vous permettra d’acquérir une année d’expérience professionnelle tout en étant formé aux spécificités de votre métier en lien avec les activités de la Compagnie. Un réel atout pour booster votre employabilité !

Pour en savoir plus : https://www.cstjf-pau.total/fr",Company - Public,"Energy, Mining & Utilities",Energy & Utilities,99,junior,0,0,0,0,0,39,47
2,43.0,GROUPE LIMAGRAIN,4.1,Data Analyst (H/F),Saint-Beauzire,"Famille de métier
FONCTIONS SUPPORT - SI
Type de contrat
CDI
Finalité du poste
Le projet ?
Au sein de Limagrain IT, vous pilotez et traitez les sujets liés au décisionnel (création et alimentation de datawarehouses et de la couche sémantique associée, production de rapports, de dashboards, d'indicateurs de pilotage et de suivi, création de datasets métiers,…) depuis le recueil des besoins jusqu'à leur délivrance en passant par les phases d'analyse, chiffrage, réalisation, lancement et conduite du changement.",Company - Private,Agriculture,Crop Production,58,junior,0,0,0,0,0,39,47
3,43.0,Matmut,3.2,Data scientist F/H,Rouen,"Le Groupe Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.

Confiant et bienveillant envers ses salariés, il construit avec eux des parcours professionnels motivants. Convaincu que la diversité des potentiels est une richesse, il accompagne, forme et fait grandir tous les talents.

Nous recherchons un Data Scientist afin de valoriser les données de nos sociétaires et prospects à des fins marketing.

Rattaché(e) à la Direction Marketing Groupe, vous intégrerez la team data science d'un pôle comprenant des data analysts, data scientists et web analysts.

Dans ce cadre, vous serez amené(e) à :",Company - Private,Insurance,Insurance Agencies & Brokerages,62,junior,0,0,0,0,0,39,47
4,43.0,Inetum,3.4,Data Analyst H/F,Lille,"Mission
Dans le cadre de la croissance de notre agence lilloise, nous développons notre Practice Data et recrutons des profils Data de divers horizons : Data Analyst, Data Engineer, Data Scientist et Data Gouv. Les besoins métiers de nos clients et la multitude des technologies font qu'il nous faut nous appuyer sur une diversité de compétences. Vous pourriez être l’un d’eux et rejoindre Inetum.

En tant que Data Analyst, vos principales missions consistent à :
Analyser et retranscrire le besoin client
Identifier, extraire et exploiter les sources d'acquisition de données les plus pertinentes",Company - Private,Information Technology,Information Technology Support Services,53,junior,0,0,0,0,0,39,47
5,43.0,Damart,3.8,Data analyst junior - H/F,Roubaix,"Né en 1953 d'une innovation - l'iconique Thermolactyl - Damart, est une grande marque patrimoniale française, l'une des rares à être entrée dans le langage commun: ""il fait froid, mets ton Damart!"". Notre leadership sur le marché des séniors, en plein essor, est fondé sur une double expertise: le textile intelligent, source de bien-être pour toute les générations et le prêt-à-porter, dédié aux femmes de 55 ans et plus qui recherchent le style et le confort.
Pour séduire les nouvelles générations et conquérir nos clients de demain, nos 1000 collaborateurs en France réinventent chaque jour Damart et accélèrent sa transformation: innovation textile, nouveau style et nouvelle image, transition digitale pour une shopping expérience omnicanale, conquête de nouveaux marchés à l'international ...
Implantée en France, Belgique, Angleterre et Suisse, Damart poursuit aujourd'hui son développement à l'international: Après le Japon et les USA, la marque s'implante en Espagne, Italie, Australie, Liban, Chypre...",Unknown,Manufacturing,Consumer Product Manufacturing,-1,junior,0,0,0,0,0,39,47
6,43.0,Onera,4.3,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,"Présentation ONERA
L’ONERA, acteur central de la recherche aéronautique et spatiale, emploie plus de 2000 personnes. Placé sous la tutelle du ministère des Armées, il dispose d’un budget de 266 millions d’euros (2022), dont plus de la moitié provient de contrats d'études, de recherche et d'essais. Expert étatique, l’ONERA prépare la défense de demain, répond aux enjeux aéronautiques et spatiaux du futur, et contribue à la compétitivité de l’industrie aérospatiale. Il maîtrise toutes les disciplines et technologies du domaine. Tous les grands programmes aérospatiaux civils et militaires en France et en Europe portent une part de l’ADN de l’ONERA : Ariane, Airbus, Falcon, Rafale, missiles, hélicoptères, moteurs, radars… Reconnus à l’international et souvent primés, ses chercheurs forment de nombreux doctorants.
Présentation du département
Le Département Aérodynamique, Aéroélasticité, Acoustique, DAAA de l’ONERA, a pour mission de préparer au profit de l’industrie des réponses technologiques pour améliorer les performances Aérodynamique, Aéroélastique et Acoustique des aéronefs, et répondre aux enjeux de compétitivité, aux besoins sociétaux, environnementaux et de défense.

Missions
Profil",Company - Public,Aerospace & Defense,Aerospace & Defense,77,junior,0,0,0,0,0,39,47
7,43.0,innovation e-Santé Sud ieSS,-1.0,Data Scientist H/F,Hyères,"Le GIP Innovation e-Santé Sud (ieSS) est un Groupement Régional d’Appui au Développement de la e-Santé (GRADeS).
ieSS agit pour la réussite du déploiement des politiques nationales et régionales de la e-santé en région PACA.
Plate-forme servicielle e-santé de proximité régionale, ieSS a engagé une dynamique de transformation de service auprès de ses membres clients en veillant à :
Proposer des services permettant de concilier l'efficience, la qualité des soins et la satisfaction des professionnels et usagers ;
Contribuer à l amélioration de l offre et de la coordination de soins et à élargir le champ du parcours de soins (prévention, information, soins, accompagnement) ;
Améliorer la prévention et le suivi des patients par l exploitation des données collectées ;",-1,-1,-1,-1,junior,0,0,0,0,0,39,47
8,43.0,CS GROUP,3.6,Chef de projet / Coordinateur Data Science - F/H,Toulouse,"Description de l'entreprise

La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L’expertise reconnue du groupe lui permet d’intervenir là où les enjeux sont les plus critiques : aéronautique, défense, énergie, spatial. Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité…
Notre esprit Tech et pragmatique, ainsi que notre agilité d’ETI nous permettent d’allier proximité, engagement et innovation, pour diffuser notre culture à tous les niveaux : dans la relation client, dans le mode de management interne, dans notre engagement social et environnemental…
Et bien sûr, dans le développement de votre carrière, notre ambition est de faire de vous un collaborateur accompli : formations, revue de carrière, mobilité, programme ambassadeur…",Company - Private,Information Technology,Information Technology Support Services,55,junior,0,0,0,0,0,39,47
9,43.0,Inetum,3.4,Data Analyst SAS / Hadoop H/F,Brest,"Mission
En recherche d’un nouveau challenge en tant que Data Analyst Sas / Hadoop ?

Au sein d’une équipe Inetum, vous intervenez chez un client reconnu dans le domaine bancaire à Brest, sur des projets structurants.
La mission consiste à:
La création de requêtes SAS ou Hadoop pour les différents services du client,
L’extraction réalisée directement sur le host de production afin d’obtenir les données les plus récentes possibles,",Company - Private,Information Technology,Information Technology Support Services,53,junior,0,0,0,0,0,39,47
