,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
0,43.0,Publicis Sapient,Data Scientist - Senior Manager (H/F),Paris,Company - Public,Management & Consulting,33,47,Senior
1,43.0,TotalEnergies,Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,Company - Public,"Energy, Mining & Utilities",99,47,junior
2,43.0,GROUPE LIMAGRAIN,Data Analyst (H/F),Saint-Beauzire,Company - Private,Agriculture,58,47,junior
3,43.0,Matmut,Data scientist F/H,Rouen,Company - Private,Insurance,62,47,junior
4,43.0,Inetum,Data Analyst H/F,Lille,Company - Private,Information Technology,53,47,junior
5,43.0,Damart,Data analyst junior - H/F,Roubaix,Unknown,Manufacturing,-1,47,junior
6,43.0,Onera,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,Company - Public,Aerospace & Defense,77,47,junior
7,43.0,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,-1,-1,-1,47,junior
8,43.0,CS GROUP,Chef de projet / Coordinateur Data Science - F/H,Toulouse,Company - Private,Information Technology,55,47,junior
9,43.0,Inetum,Data Analyst SAS / Hadoop H/F,Brest,Company - Private,Information Technology,53,47,junior
10,43.0,Inetum,Data Analyst Industrie 4.0 H/F,Toulouse,Company - Private,Information Technology,53,47,junior
11,43.0,LIMAGRAIN EUROPE SAS,Analyste de données en sélection Maïs (H/F),Ennezat,Company - Private,Agriculture,58,47,junior
12,43.0,Atmosphères,Data Analyst H/F,Bois-d'Arcy,Company - Private,Human Resources & Staffing,21,47,junior
13,43.0,TOYOTA MATERIAL HANDLING FRANCE,Data Analyst CRM,Bussy-Saint-Georges,Company - Private,"Construction, Repair & Maintenance Services",56,47,junior
14,43.0,Damart,Data analyst senior - H/F,Roubaix,Unknown,Manufacturing,-1,47,junior
15,43.0,CGI FINANCE,Data Scientist H/F,France,Company - Private,Financial Services,72,47,junior
16,43.0,L2C,Data Analyst - Editeur de logiciels Big data leader sur son domaine - Fxie + bonus déplafonné - H/F,Paris,Company - Public,Management & Consulting,55,47,junior
17,43.0,Peroptyx,Analyste de données H/F,Paris,Company - Private,Information Technology,5,47,junior
18,43.0,Teleperformance Portugal,Data analyst campagne publicitaire Pinterest à Lisbonne (f/h/x),France,Company - Private,Telecommunications,45,47,junior
19,43.0,Procter & Gamble,Data Analyst,Paris,Company - Public,Manufacturing,186,47,junior
20,43.0,CS GROUP,Ingénieur Data Scientist expérimenté - F/H,Toulouse,Company - Private,Information Technology,55,47,junior
21,43.0,Caisse d'Epargne Ile de France,Data Analyste H/F,Paris,Company - Public,Financial Services,14,47,junior
22,43.0,FED Finance,DATA ANALYST,France,Company - Private,Human Resources & Staffing,13,47,junior
23,43.0,Seyos,Data Analyst - H/F,Suresnes,Company - Private,Human Resources & Staffing,9,47,junior
